variable_name,units,value,data_reference
zNa,dimensionless,1,known
R,J_per_K_per_mmol,0.008314,known
T,kelvin,310,user_defined
F,C_per_mmol,96.485,known
C_ref,mM,1.00E+03,known
q_ref,fmol,1.00E+03,known
V_o_ENaC,pL,2.00E+00,user_defined
V_i_ENaC,pL,2.00E+00,user_defined
d_1_ENaC,dimensionless,0.1,Kellenberger_1998
d_2_ENaC,dimensionless,1.50E-01,Kellenberger_1998
d_3_ENaC,dimensionless,2.50E-01,Kellenberger_1998
d_4_ENaC,dimensionless,2.50E-01,Kellenberger_1998
d_5_ENaC,dimensionless,1.50E-01,Kellenberger_1998
d_6_ENaC,dimensionless,1.00E-01,Kellenberger_1998
q_1_init_ENaC,fmol,0.00000016,user_defined
q_2_init_ENaC,fmol,0.00000016,user_defined
q_3_init_ENaC,fmol,0.00000016,user_defined
q_4_init_ENaC,fmol,0.00000016,user_defined
q_5_init_ENaC,fmol,0.00000064,user_defined
q_6_init_ENaC,fmol,3.90E-10,user_defined
q_Na_i_ENaC,fmol,2.00E+01,parameter
q_Na_o_ENaC,fmol,2.90E+02,parameter
u_G_1_ref_ENaC,J_per_mmol,-0.128867,Kellenberger_1998
u_G_2_ref_ENaC,J_per_mmol,-9.278424,Kellenberger_1998
u_G_5_ref_ENaC,J_per_mmol,-43.9694204,Kellenberger_1998
kappa_1_ENaC,per_s_per_K,425056.6829,Kellenberger_1998
kappa_2_ENaC,per_s_per_K,211076.902,Kellenberger_1998
kappa_3_ENaC,per_s_per_K,425056.6829,Kellenberger_1998
kappa_4_ENaC,per_s_per_K,0.000587272,Kellenberger_1998
kappa_5_ENaC,per_s_per_K,0.000587272,Kellenberger_1998
kappa_6_ENaC,per_s_per_K,1.00E+00,to_be_fit
u_G_2_ENaC,J_per_mmol,1.00E+00,to_be_fit
u_G_5_ENaC,J_per_mmol,1.00E+00,to_be_fit
u_G_6_ENaC,J_per_mmol,1.00E+00,to_be_fit
u_G_Na_ENaC,J_per_mmol,-261.87,NIST
u_e_m_ENaC,volt,-0.05,parameter
