variable_name,units,value,data_reference
q_V_init_mucus,pL,50,user_defined
q_Na_init_mucus,fmol,1500,user_defined
q_Cl_init_mucus,fmol,1500,user_defined
q_K_init_mucus,fmol,3750,user_defined
u_e_lumen_init_mucus,volt,0,user_defined
u_P_mucus,kPa,0,user_defined
zNa,dimensionless,1,known
zK,dimensionless,1,known
zCl,dimensionless,-1,known
R,J_per_K_per_mmol,0.008314,known
T,kelvin,310,user_defined
F,C_per_mmol,96.485,known
C_m_bas,picoFarad,7800,user_defined
C_m_api,picoFarad,3900,user_defined
K_Na,per_mM,1,user_defined
K_K,per_mM,1,user_defined
K_Cl,per_mM,1,user_defined
q_V_init_cell,pL,300,user_defined
q_Na_init_cell,fmol,3000,user_defined
q_Cl_init_cell,fmol,6000,user_defined
q_K_init_cell,fmol,43200,user_defined
u_e_cell_init_cell,volt,0.05,user_defined
c_ATP_init_cell,mM,10,user_defined
c_ADP_init_cell,mM,1,user_defined
c_Pi_init_cell,mM,10,user_defined
u_P_cell,kPa,0,user_defined
q_V_init_int_fluid,pL,100,user_defined
q_Na_init_int_fluid,fmol,14000,user_defined
q_Cl_init_int_fluid,fmol,10000,user_defined
q_K_init_int_fluid,fmol,400,user_defined
u_P_int_fluid,kPa,0,user_defined
omega_Na_para_transport,L_fmol_per_J_per_s,117,user_defined
omega_Cl_para_transport,L_fmol_per_J_per_s,234,user_defined
omega_K_para_transport,L_fmol_per_J_per_s,75,user_defined
sigma_Na_para_transport,dimensionless,0.9,user_defined
sigma_Cl_para_transport,dimensionless,0.4,user_defined
sigma_K_para_transport,dimensionless,0.95,user_defined
L_P_para_transport,pL_L_per_J_per_s,100,user_defined
q_1_init_ENaC,fmol,0.015,user_defined
q_2_init_ENaC,fmol,0.015,user_defined
q_3_init_ENaC,fmol,0.015,user_defined
q_4_init_ENaC,fmol,0.015,user_defined
K_1_ENaC,per_fmol,1.39551477,user_defined
K_2_ENaC,per_fmol,1,user_defined
K_3_ENaC,per_fmol,1,user_defined
K_4_ENaC,per_fmol,0.5,user_defined
kappa_1_ENaC,fmol_per_s,1,user_defined
kappa_2_ENaC,fmol_per_s,1,user_defined
kappa_3_ENaC,fmol_per_s,1,user_defined
kappa_4_ENaC,fmol_per_s,1,user_defined
gamma_Na_ENaC,picoS_per_fmol,48184000,user_defined
gamma_o_ENaC,picoS_per_fmol,48184000,user_defined
kappa_AQ_AQ_api,pL_per_kPa_per_s,1,user_defined
kappa_AQ_AQ_bas,pL_per_kPa_per_s,4,user_defined
z_1_NKE,dimensionless,0.17,user_defined
q_1_init_NKE,fmol,20,user_defined
q_2_init_NKE,fmol,20,user_defined
q_3_init_NKE,fmol,20,user_defined
q_4_init_NKE,fmol,20,user_defined
q_5_init_NKE,fmol,20,user_defined
q_6_init_NKE,fmol,20,user_defined
K_1_NKE,per_fmol,1,user_defined
K_2_NKE,per_fmol,1,user_defined
K_3_NKE,per_fmol,1,user_defined
K_4_NKE,per_fmol,1,user_defined
K_5_NKE,per_fmol,1,user_defined
K_6_NKE,per_fmol,1,user_defined
kappa_1_NKE,fmol_per_s,1,user_defined
kappa_2_NKE,fmol_per_s,1,user_defined
kappa_3_NKE,fmol_per_s,1,user_defined
kappa_4_NKE,fmol_per_s,1,user_defined
kappa_5_NKE,fmol_per_s,1,user_defined
kappa_6_NKE,fmol_per_s,1,user_defined
K_ADP,per_mM,1,user_defined
K_ATP,per_mM,1,user_defined
K_Pi,per_mM,1,user_defined
kappa_Kir_Kir,picoS,4000,user_defined
